[05/18/26 10:12:06] [INFO] received Windows console close event; shutting log-core down
[05/20/26 22:06:15] [INFO] received Windows console close event; shutting log-core down
[05/21/26 15:24:07] [INFO] received Windows console close event; shutting log-core down
[05/21/26 15:42:50] [INFO] received Windows console close event; shutting log-core down
[05/21/26 15:46:48] [INFO] received Windows console close event; shutting log-core down
[05/21/26 20:40:44] [INFO] received Windows console close event; shutting log-core down
[05/21/26 21:23:05] [INFO] received Windows console close event; shutting log-core down
[05/21/26 21:28:38] [INFO] received Windows console close event; shutting log-core down
[05/21/26 22:17:27] [INFO] received Windows console close event; shutting log-core down
[05/21/26 22:29:45] [INFO] received Windows console close event; shutting log-core down
[05/21/26 22:33:07] [INFO] received Windows console close event; shutting log-core down
[05/21/26 22:53:12] [INFO] received Windows console close event; shutting log-core down
[05/21/26 22:59:50] [INFO] received Windows console close event; shutting log-core down
[05/21/26 23:06:19] [INFO] received Windows console close event; shutting log-core down
[05/21/26 23:30:44] [INFO] received Windows console close event; shutting log-core down
[05/26/26 17:19:53] [INFO] received Windows console close event; shutting log-core down
[05/26/26 17:39:47] [INFO] received Windows console close event; shutting log-core down
[05/26/26 17:46:54] [INFO] received Windows console close event; shutting log-core down
[05/26/26 17:58:39] [INFO] received Windows console close event; shutting log-core down
[05/26/26 18:07:07] [INFO] received Windows console close event; shutting log-core down
[05/26/26 18:07:52] [INFO] received Windows console close event; shutting log-core down
[05/26/26 18:10:25] [INFO] received Windows console close event; shutting log-core down
[05/26/26 18:16:54] [INFO] received Windows console close event; shutting log-core down
[05/26/26 18:25:36] [INFO] received Windows console close event; shutting log-core down
[05/26/26 19:07:14] [INFO] received Windows console close event; shutting log-core down
[05/26/26 19:23:43] [INFO] received Windows console close event; shutting log-core down
[05/26/26 19:48:21] [INFO] received Windows console close event; shutting log-core down
[05/26/26 20:00:45] [INFO] received Windows console close event; shutting log-core down
[05/26/26 20:05:09] [INFO] received Windows console close event; shutting log-core down
[05/27/26 06:01:16] [INFO] received Windows console close event; shutting log-core down
[05/27/26 06:46:44] [INFO] received Windows console close event; shutting log-core down
[05/27/26 07:42:11] [INFO] received Windows console close event; shutting log-core down
[05/27/26 07:45:37] [INFO] received Windows console close event; shutting log-core down
[05/27/26 08:10:40] [INFO] received Windows console close event; shutting log-core down
[05/27/26 11:18:37] [INFO] received Windows console close event; shutting log-core down
[05/27/26 11:31:06] [INFO] received Windows console close event; shutting log-core down
[05/27/26 21:15:50] [INFO] received Windows console close event; shutting log-core down
[05/28/26 12:43:23] [INFO] received Windows console close event; shutting log-core down
[05/28/26 13:39:34] [INFO] received Windows console close event; shutting log-core down
[05/29/26 11:32:13] [INFO] received Windows console close event; shutting log-core down
[05/29/26 14:46:01] [INFO] received Windows console close event; shutting log-core down
[05/29/26 14:58:47] [INFO] received Windows console close event; shutting log-core down
[05/30/26 08:02:30] [INFO] received Windows console close event; shutting log-core down
[06/13/26 01:38:37] [INFO] received Windows console close event; shutting log-core down
[06/26/26 17:59:37] [INFO] received Windows console close event; shutting log-core down
[06/26/26 18:11:33] [INFO] received Windows console close event; shutting log-core down
[06/26/26 18:16:46] [INFO] received Windows console close event; shutting log-core down
[06/26/26 19:25:10] [INFO] received Windows console close event; shutting log-core down
[07/18/26 20:38:21] [INFO] received Windows console close event; shutting log-core down
[07/22/26 12:23:28] [INFO] received Windows console close event; shutting log-core down
[07/22/26 13:06:55] [INFO] received Windows console close event; shutting log-core down
[07/22/26 22:45:26] [INFO] received Windows console close event; shutting log-core down
[07/22/26 22:45:27] [INFO] received Windows console close event; shutting log-core down
[07/22/26 22:49:41] [INFO] received Windows console close event; shutting log-core down
[07/23/26 11:51:30] [INFO] received Windows console close event; shutting log-core down
